Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
Muscle relaxation using full body massage machine,NCT03507192,N/A,"AD, MCI",60,One year after receiving muscle relaxation massage everyday.,cortical thickiness in 3D MRI; functional connectivity in functional MRI,,2018,2019; Unknown status,,,behav,
"Augmented Standard Care (ASC), Resource Nurse Care (RNC), Advanced Practice Nurse Care (APNC)",NCT00294307,,"AD, MCI",814,"At hospital admission and at 2-, 6-, 12-, and 26-w post-discharge",Patient - Function; Caregiver - Burden; Patient - Health Care Costs; Patient - Time to first rehospitalization or death; total rehospitalization days; Patient - Total rehospitalizations; Patient - Cognitive Function; Patient - Care Management; Patient - Symptoms (Physical and depressive symptoms); Patient - Neuropsychiatric Behaviors; Patient - Quality of Life; Patient/Caregiver - Satisfaction with care; Caregiver - Depressive Symptoms,,2006,2019; Completed,,,behav,
Dysphagia Detection System,NCT03387267,N/A,"AD, PD",442,The study procedure of simultaneous VFSS and DDS measurement using moderate barium (MOD-Ba) will be completed in one day.,The primary efficacy of the Dysphagia Detection System (DDS) will be measured as the sensitivity & specificity obtained from comparing the DDS swallow safety outcome simultaneously to the VFSS swallow safety outcome for thin barium (THIN-Ba) stimuli; The sensitivity & specificity DDS for swallow safety using MILD-Ba will be measured as the sensitivity & specificity obtained from comparing the DDS predicted swallow safety outcome with the VFSS swallow safety outcome for MILD-Ba; The sensitivity & specificity DDS for swallow efficiency using THIN-Ba will be measured as the sensitivity & specificity obtained from comparing the DDS predicted swallow efficiency outcome with the VFSS swallow efficiency outcome for THIN-Ba; The sensitivity & specificity DDS for swallow efficiency using MILD-Ba will be measured as the sensitivity & specificity obtained from comparing the DDS predicted swallow efficiency outcome with the VFSS swallow efficiency outcome for MILD-Ba; The sensitivity & specificity DDS for swallow safety using MOD-Ba will be measured as the sensitivity & specificity obtained from comparing the DDS predicted swallow safety outcome with the VFSS swallow safety outcome for MOD-Ba; The sensitivity & specificity DDS for swallow efficiency using MOD-Ba will be measured as the sensitivity & specificity obtained from comparing the DDS predicted swallow efficiency outcome with the VFSS swallow efficiency outcome for MOD-Ba,,2018,2019; Terminated,,,device,
Collaborative Dementia Care Program,NCT01699503,N/A,"MCI, AD",4005,12 m,Number of Participants With an Advance Directive at 12 Months; Number of Participants With Health Care Utilization; Generalized Anxiety Disorder Scale (GAD-7); Patient Health Questionnaire (PHQ-9); Health Related Quality of Life (HRQOL),,2012,2019; Completed,,,behav,
"GammaSense Stimulation System (non-invasive, non-significant risk)",NCT03661034,N/A,"AD, MCI",20,"Baseline, 3, 6, 9 and 12 m",Change in Amyloid Positron Emission Tomography (PET) Scan; Adverse Events; Alzheimer's Disease Assessment Scale- Cognitive Subscale (ADAS-Cog),,2018,2018; Unknown status,,,device,
Intranasal Insulin,NCT02064166,P2,"PD, MSA",15,Baseline and post-treatment,"Modified Hoehn and Yahr Scale; Beck Depression Inventory Score (BDI); Cognitive Impairment Using Montreal Cognitive Assessment (MoCA); Brief Visuospatial Memory Test-Revised (BVMT-R); Gait Analysis (4-meter Test); Unified Parkinson's Disease Rating Scale Part III (UPDRS Part III); Change in Verbal Fluency FAS (F, A or S Words) Total Score",,2014,2018; Completed,,,drug,
Dabigatran,NCT03752294,P1,"AD, MCI",40,24-m,Evaluate dabigatran efficacy in MCI and mild AD population using changes in targeted plasma and CSF biomarker levels at 9 and 21 months; Demonstrate a reduction in decline of cognitive function related to physical functioning in placebo arm after crossing over to 12-months of active treatment; Changes in cognitive performance in placebo arm after cross-over to open-label treatment phase; Safety and tolerability of dabigatran in experimental population (MCI and mild AD populations) based on reported serious and adverse events; Evaluation of cognitive performance in placebo arm after cross-over to open-label treatment phase,,2018,2018; Not yet recruiting,,,drug,
transcranial direct current stimulation (tDCS),NCT03422250,N/A,"AD, FTDLD",66,"Baseline, post tDCS (week 3)",Change from baseline in behavioral symptom severity; Change from baseline in clinical disease severity; Change from baseline in functional connectivity; Change from baseline in perfusion; Change from baseline in cognition: memory; Change from baseline in cognition: language; Change from baseline in cognition: executive function; Change from baseline in cognition: visuospatial function; Change from baseline in cognition: emotion recognition; Change from baseline in structural connectivity,,2018,2018; Completed,,,device,
Navigated Care,NCT02213458,N/A,"FTDLD, AD",780,One year,Quality of Life-AD; Health care utilization; Caregiver burden; Satisfaction with Dementia Care; Caregiver depression; Caregiver self-efficacy,,2014,2018; Completed,,,behav,
Transcranial direct current stimulation,NCT03721887,N/A,"MSA, PD",40,baseline to week 4,EEG recording before and after the tDCS session; Electromyography recording before and after the tDCS session; Change in Unified Parkinson's Disease Rating Scale (UPDRS) Part III before and after the tDCS session; Change in Unified Multiple System Atrophy Rating Scale (UMSARS) subscores (UMSARS-1 and UMSARS-2) before and after the tDCS session; Change in New freezing of gait questionnaire (NFOG-Q) before and after the tDCS session; Change in Tinetti's Mobility Index total score before and after the tDCS session; Change inParkinson's Disease Questionnaire 39 (PDQ-39) before and after the tDCS session; Change in Short Form 36 Health Survey (SF-36) total score before and after the tDCS session,,2018,2018; Recruiting,,,device,
"Microcannula Harvest Adipose, Centricyte 1000",NCT03297177,N/A,"CBD, AD, PD",300,6 month intervals for up to 5 years,Number of participant with adverse events (AE) or severe adverse events (SAE); Neurological Function; Neurological Tested Functions; Magnetic Resonance Imaging (MRI),,2017,2018; Not yet recruiting,,,stem,
"Warfarin, Dimebon",NCT00827034,P1,"HD, AD",14,7+18 d,"Single dose pharmacokinetics (Cmax, AUCinf) of warfarin 25 mg with and without co-administration of steady-state Dimebon 20 mg TID in healthy adult subjects.; Single dose pharmacodynamics (INRmax, AUC-INR) of warfarin 25 mg with and without co-administration of steady-state Dimebon 20 mg TID in healthy adult subjects.; Safety and tolerability ( adverse event monitoring, physical examinations, vital signs, ECG's and clinical laboratory tests) of multiple doses of Dimebon 20 mg TID with a single dose of warfarin 25 mg in healthy adult subjects.",,2009,2018; Completed,,,drug,
"Mito-Food Plan, Cellular Repair Therapy",NCT03630419,P1/P2,"AD, MCI",5,3 m,Change in Mini Mental State Exam (MMSE) from Baseline to Week 12; Change in inflammation as measured through bioimpedance analysis from baseline to week 12; Change in Montreal Cognitive Assessment (MoCA) from Baseline to Week 12; Change in Quality of Life in Alzheimer's Disease (QOL-AD) from Baseline to Week 12; Change in A1C levels from Baseline to Week 12,,2018,2018; Completed,,,suppl,
MK-8931,NCT02910739,P1,"AD, MCI",16,Up to 14 d following MK-8931 40 mg administration.,Number of Participants Discontinuing Study Due to an Adverse Event; Number of Participants Experiencing an Adverse Event; Apparent Volume of Distribution of MK-8931 During the Terminal Phase After Extravascular Administration (Vz/F); Apparent Terminal Half-Life of MK-8931 (t1/2); Time to Maximum Observed MK-8931 Plasma Drug Concentration (Tmax); Apparent Clearance of MK-8931 After Extravascular Administration (CL/F); Plasma Concentration of MK-8931 at 24 Hours (C24hr); Area Under the Concentration Versus Time Curve of MK-8931 From 0 to 24 Hours (AUC0-24hr); Area Under the Concentration Versus Time Curve of MK-8931 From 0 to the Time of the Last Quantifiable (Above LLOQ) Sample (AUC0-last); Maximum Observed Plasma Concentration of MK-8931 (Cmax); Area Under the Concentration Versus Time Curve of MK-8931 From 0 to Infinity (AUC0-∞),,2016,2018; Completed,,,drug,
Laughter Therapy,NCT02750982,N/A,"PD, HD, ALS, AD",24,Change from Baseline to 8 w,"Patient Health Questionnaire (PHQ-9, for depression); Generalized Anxiety Disorder 7-item scale (GAD-7, for anxiety); The General Self-Efficacy Scale (GSE)",,2016,2018; Completed,,,behav,
"[18F]MK-6240, ~185 MBq, [18F]MK-6240, ~160 MBq",NCT02562989,P1,"AD, MCI",13,Up to 16 w following initial dose of [18F]MK-6240,Intra-subject Test-Retest (T-RT) Variability of Standardized Uptake Value Ratio (SUVR) in Brain Regions of Interest; Standardized Uptake Value Ratio (SUVR) of [18F]MK-6240 in Brain Regions of Interest; Organ Effective Dose of [18F]MK-6240; Effective Dose of [18F]MK-6240; Number of Participants Who Discontinued Study Due to an AE; Number of Participants With Adverse Events (AEs),,2015,2018; Completed,,,biom,
carnosine supplementation,NCT03330470,N/A,"PD, MCI",100,up to 36 m,glucose tolerance; learning/working memory; motoric functions - Berg Balance Scale; habitual physical activity; physical fitness,,2017,2018; Unknown status,,,suppl,
Transcranial direct current stimulation (tDCS),NCT01958437,N/A,"AD, MCI",44,Outcome assessed after each of the 2 sessions,Egocentric; Dorsal Attention Network Connectivity During Resting-state fMRI; Hippocampal BOLD Signal During Task-based fMRI; Accuracy in Centimeters From Target Location for Allocentric,,2013,2018; Completed,,,device,
EEG scan,NCT03644043,,"MCI, AD",2000,10 d,Patient meeting Appropriate Use Criteria (AUC) with EEG brain scan - P300 and P50 will be measured for correlation between P300 and P50 with amyloid deposition.,,2018,2018; Unknown status,,,device,
"Sapphire II, Aftobetin-HCl, Positron Emission Tomography",NCT02928211,P1,"MCI, AD",105,"through study completion, approximately 4 w","Paired pre-ligand and post ligand fluorescent uptake values (FUV); Determination of success (yes or no); The overall diagnostic precision for each combination of Aftobetin-HCl administrations and Fluorescent Uptake Value (FUV); Estimates of sensitivity and specificity of MCI and mild AD subjects compared to cognitively normal subjects; Safety of Sapphire II procedure as determined by instances of Adverse Events; Characterization of maximal fluorescence after 1, or potentially 3, ointment administrations; Intra-class correlation of the repeatability of the Sapphire II measurements to verify the system's reliability for reproducible results; Correlation of FUV to PET amyloid status",,2016,2018; Unknown status,,,biom,
Florbetapir F 18,NCT01518374,P2,"AD, MCI",1768,48 hours,Number of Participants Experiencing Treatment-emergent Adverse Events Considered Related to Florbetapir Administration,,2012,2018; Completed,,,biom,
voice recordings,NCT03577483,N/A,"PD, MSA",90,Day 1,Differences between groups in Dysphonia Severity Index (DSI).; Differences between groups in Acoustic Voice Quality Index (AVQI); Differences between groups in oral airflow (dm3/s).; Differences between groups in glottal leakage (cc/s/dB); Differences between groups in intra-oral pressure (hPa).; Differences between groups in perceptive analysis of dysphonia based on total GRBAS-I scale scores (range 0-18); Differences between groups in perceptive analysis of dysarthria based on French Clinical Dysarthria Battery scores,,2018,2018; Unknown status,,,device,
3 months exercise intervention program,NCT02253732,N/A,"AD, MCI, PD",30,up to 30 m,muscle microRNAs and myokines; whole body energy metabolism; cognitive function; motoric function; Muscle functional tests,,2014,2018; Completed,,,behav,
Transcranial direct current stimulation,NCT02453763,,"AD, PD",17,Day 1,Magnetic Resonance Imaging (MRI) of therapeutic current flow,,2015,2018; Completed,,,device,
non-invasive retinal imaging,NCT03472482,,"MCI, AD",85,2 years,Diagnostic performance of OCT measurements in dementia,,2018,2018; Unknown status,,,biom,
"biomarkers, MRI and CSF",NCT01315639,N/A,"MCI, AD",1067,t0,Ratio of CSF sAPPβ and CSF sAPPα; Ratio of plasma Aβ and plasma Tau; Plasma Tau; MRI biomarkers; Mean concentration of plasma AB peptides; plasma levels of Tau protein; Mean concentration of biomarker; MRI; Transcriptomics biomarkers; Bace peptide; TACE/ADAM17; Cathepsin; sAPPβ,,2011,2018; Unknown status,,,biom,
"multimodal retinal imaging, Cerebral imaging, Neuropsychiatric testing",NCT03466177,,"MCI, AD",90,2 years,Retinal biomarkers for AD: specificity; Retinal biomarkers for AD: sensitivity; Retinal biomarkers for AD: number needed to image; Retinal biomarkers for AD: area under the curve (AUC); Retinal biomarkers for AD: receiver operating characteristic (ROC); Retinal biomarkers for AD: quantification of cerebral Aβ load by non-invasive retinal imaging against the cerebral Aβ load measured by cerebral imaging; Retinal biomarkers for AD: disease progression by measuring the change from baseline at 2 years,,2018,2018; Unknown status,,,biom,
Exendin-4 SC,NCT01255163,P2,"MCI, AD",57,18 m,Number of Participants With Incidence of Nausea; Body Mass Index (BMI); Cerebrospinal Fluid Amyloid-beta 42 (CSF Abeta42); Cerebrospinal Fluid phospho181-tau (CSF p181-tau); Cerebrospinal Fluid (CSF) Total Tau; Clinical Dementia Rating (CDR) Sum of Boxes; Clinical Dementia Rating (CDR) Global Score; Alzheimer's Disease Assessment Scale-cognitive Subscale (ADAS-cog70); Mini Mental State Examination (MMSE),,2010,2018; Terminated,,,drug,
"Robot-Assisted Gait Training (RAGT), Treadmill Gait Training (TT)",NCT01668407,N/A,"PSP, PD",80,"baseline, weekly during intervention, 6 m follow up.",6 minutes walking test.; Time Up and Go test.; Gait Parameters,,2012,2018; Completed,,,device,
PET Scan,NCT02420756,,"AD, MCI",18488,12 m,To assess the impact of amyloid PET on the management of patients meeting Appropriate Use Criteria (AUC); To assess the impact of amyloid PET on hospital admissions and emergency room visits in patients enrolled in the cohort (amyloid PET-known) compared to matched patients not in the cohort (amyloid PET-naïve) over 12 months,,2015,2017; Completed,,,biom,
Pupillometry,NCT03330353,,"PSP, ALS, AD, PD",56,2 years,Maximal Pupil Constriction; Post-illumination pupil response (PIPR),,2017,2017; Unknown status,,,device,
"Umbilical cord blood therapy, Filgrastim",NCT02236065,N/A,"PD, ALS",10,6 m,Changes in Berg Balance Scale; Changes in the Level of Disability; Changes in Standardized Gross Motor Function; Changes in Motor Performance; Changes in ALSFRS-R; Changes in UPDRS; Changes in Brain MRI; Changes in Brain PET; Number of adverse events and participants with those adverse events,,2014,2017; Completed,,,sem,
"Support provided by social worker, Information booklet receipt",NCT02626377,N/A,"PD, AD",7604,"At 1,6,12,18,24,30,36,42,48,54 and 60 m post randomization","(Interventional Study) Comparison of caregivers' HRQoL according to the allocated intervention by randomization based on summaries score the MOS SF36; (Observational study) Changes in HRQoL of patients' caregivers using the MOS SF36 questionnaire; (Observational study) Changes in HRQoL of cancer patients' caregivers using the CarGoQoL questionnaire; (Observational study) Changes in the coping strategies of patients' caregivers using the Borteyrou, Rascle and Truchot Questionnaire; (Observational study) Changes in feelings of anxiety and depression of patients' caregivers according to the HADs questionnaire; (Observational study) Changes in social support of patients' caregivers using the SSQ6 questionnaire; (Observational study) Changes in burden of patients' caregivers using the Zarit burden inventory; (Interventional Study) Comparison of caregivers' HRQoL according to the intervention allocated by randomization based on summaries score the MOS SF36; (Interventional Study) Changes in HRQoL of patients' caregivers according to the allocated intervention using the MOS SF36 questionnaire; (Interventional Study) Changes in HRQoL of cancer patients' caregivers according to the allocated intervention using the CarGoQol questionnaire; (Interventionnal Study) Changes in the coping strategies of patients' caregivers according to the allocated intervention using the Borteyrou, Rascle and Truchot Questionnaire; (Interventional Study) Changes in feelings of anxiety and depression of patients' caregivers according to the allocated intervention using the HADs Questionnaire; (Interventional Study) Changes in social supports of patients' caregivers according to the allocated intervention using the SSQ6 questionnaire; (Interventional Study) Changes in burden of patients' caregivers according to the allocated intervention using the Zarit burden inventory; (Interventional study) Efficiency of the intervention of a social worker for caregivers using a cost-utility analysis; (Observational study) Changes in the caregivers/patients' relationship using a qualitative approach (semi-structure interview); (Observational study) Changes in the role of caregiver due to a situation generating a rupture (entry into an institution or death, disease remission) using a qualitative approach (semi-structure interview)",,2015,2017; Recruiting,,,behav,
"Neurocognitive battery, Blood tests, EEG with event-related potential (ERP), Amyloid PET CT",NCT03275363,,"MCI, AD",500,1 year,Cognitive decline; Functional decline; Neuropsychiatric decline; Quality of life decline; Change in cognitive impairment status,,2017,2017; Recruiting,,,delete,
Brain-Computer Interface,NCT02228187,P2,"MCI, AD",240,"Comparison in the change of fMRI during: Pre-treatment (Week 0), post-treatment (Week 9), and post booster sessions (Week 20) for the Intervention group; Baseline (Week 0), pre-treatment (Week 9), and post-treatment (Week 20) for Waitlist-control group",Total Score of the Repeatable Battery for the Assessment of Neuropsychological Status (RBANS); Sum of Scaled Score of the Rivermead Behavioral Memory Test-II; Number of Adverse Events/Serious Adverse Events Reported; Usability Measure of the Brain-Computer Interface training system; Relationship between genetic profile of participants and their performance on the training program; Changes in functional MRI,,2014,2017; Completed,,,device,
[18F] Flutemetamol,NCT02813070,P2,"MCI, AD",70,Up to 90 minutes after IMP administration,Blinded Visual Assessment of Positron Emission Tomography (PET) Imaging and Clinical Diagnosis by Japanese Readers; Blinded Visual Assessment of Positron Emission Tomography (PET) Imaging and Clinical Diagnosis by Non-Japanese Readers,,2016,2017; Completed,,,biom,
Beta amyloid imaging,NCT02309723,N/A,"AD, MCI",315,Online Survey - completion during the estimated 2-3 month field period,Likelihood of Recommending That Spouse Take Various Cognitive Deficit Disease Management Measures; Likelihood of Recommending a Medication Indicated for Alzheimer's Disease; Influence of the Neuroimaging Test on a Finding of Alzheimer's Disease as the Underlying Cause of the Mild Memory Loss,,2014,2017; Completed,,,biom,
Exelon Patch (rivastigmine transdermal system),NCT01519271,P4,"MCI, PD",28,The MoCA was administered in the beginning and end of each study phase.,Montreal Cognitive Assessment (MoCA); Alzheimer's Disease Cooperative Study- Clinical Global Impression Change (ADCS-CGIC),,2012,2017; Completed,,,drug,
MRI exam of the brain,NCT02445469,N/A,"PD, MSA, PSP",130,1 month,Quantitative susceptibility mapping; Diffusion tensor imaging,,2015,2017; Terminated,,,biom,
"MRI imaging, EEG recording",NCT02236832,N/A,"FTDLD, PSP",225,day of inclusion (one day),Performance in the implicat task; Performance in the Similitude task; recording of EEG; Analysis of MRI,,2014,2017; Recruiting,,,biom,
AZD5213,NCT01548287,P2,"AD, MCI",164,Baseline and Week 4.,"Change From Baseline in Sleep Efficiency After 4 Weeks of Treatment, Based on Actigraphy Recording.; Change From Baseline in Latency of Persistent Sleep After 4 Weeks of Treatment, Based on Actigraphy Recording.; Change From Baseline in Night Total Sleep Time After 4 Weeks of Treatment, Based on Actigraphy Recording.; Change From Baseline in Latency to Persistent Sleep After 4 Weeks of Treatment, Based on PSG Measurements.; Change From Baseline in Sleep Efficiency After 4 Weeks of Treatment, Based on PSG Measurements.; Change From Baseline in Total Sleep Time (TST) After 4 Weeks of Treatment, Based on PSG Measurement.",,2012,2017; Completed,,,drug,
Incobotulinum Toxin A,NCT01565395,P2,"PD, ALS",0,7 m,Change in objectively measured salivary volume between baseline and one month post-injection in the Xeomin group as compared to placebo,,2012,2017; Withdrawn,,,drug,
"Siemens ""Biograph mMR"" PET-MR (3T)",NCT03030365,,"AD, MCI",30,1 Day,Orientation performance; Cortical atrophy; Functional connectivity analysis; Mental-orientation evoked fMRI activity; [18]F-fluorodeoxyglucose (FDG) uptake,,2017,2017; Unknown status,,,biom,
[18F]FPEB,NCT00870974,P1,"HD, PD, AD, MCI",48,at completion of scans,Does FPEB reliably represent the known distribution of MGLUR5 in the brain?,,2009,2017; Completed,,,biom,
[123I]MNI-420,NCT00970229,P1,"HD, PD",19,1 year,"To evaluate [123I]MNI-420 as a quantitative imaging outcome measure of A2aR activity in PD, HD, and healthy subjects",,2009,2017; Completed,,,biom,
"Mnemonic strategy training (MST), Repeated exposure (XP), Subtracting Cues training",NCT00714571,P1,"MCI, AD",82,"Pre-training, post-training, 1 month",Memory Test Accuracy on Trained Stimuli,,2008,2017; Completed,,,behav,
Saliva samples,NCT02864303,N/A,"AD, MCI",250,24 m,Aβ40 and Aβ42; Neuropsychologic tests; ApoE polymorphism,,2016,2016; Unknown status,,,biom,
[18F]T807 ([18F]MNI-777),NCT02103894,P1,"PD, PSP, AD, CTE",16,2 years,Brain uptake of [18F]T807 ([18F]MNI-777),,2014,2016; Completed,,,biom,
[18F]MNI-815 (MNI-815),NCT02531360,Early P1,"PSP, AD",7,18 m,Brain uptake of [18F]MNI-815,,2015,2016; Completed,,,biom,
TruScan Neurofeedback,NCT02987842,N/A,"AD, MCI",30,6 w,Memory performance; General cognitive performance improvement; qEEG,,2016,2016; Unknown status,,,device,
SRT,NCT02814201,,"PD, HD",55,Day 0,SRT,,2016,2016; Completed,,,behav,
"stimulation ON, stimulation OFF",NCT02924194,N/A,"MCI, PD",6,Month 36,Evaluate safety of DBS-nbM; Stability or improvement of cognitive symptoms,,2016,2016; Recruiting,,,device,
"Lombar Punction, Positron-Emission Tomography (TEP) /(FDG), Psychiatric tests, Apolipoprotein (ApoE) detection",NCT02843906,N/A,"MCI, AD",180,40 minutes,Functionnal/Cognitive evaluation; Psychatric evaluation; Brain MRI,,2016,2016; Unknown status,,,delete,
AVP-923,NCT00056524,P3,"AD, PD",600,,emotional control,,2003,2016; Completed,,,drug,
"auditory discrimination training, physical movement training",NCT01061489,N/A,"AD, MCI",65,"pre, post, 3-month follow-up","Change in global cognition; electrophysiological, MRI, blood and liquor correlates",,2010,2016; Completed,,,behav,
ABT-957,NCT02573740,P1,"MCI, AD",8,84 d,Percentage of participants reporting treatment-emergent adverse events; Level of spectrin breakdown product-145 (SBDP-145),,2015,2016; Terminated,,,drug,
"Lumbar puncture, Blood draw",NCT02089555,,"MCI, AD",135,one time only,CSF endothelial marker levels; CSF Alzheimer's biomarker levels; MRI evidence of small vessel disease; MRI evidence of brain atrophy,,2014,2016; Completed,,,delete,biom
"administration of stable isotope-labelled leucine-, collection of CSF, urine, saliva",NCT02263235,N/A,"PD, AD",110,1.5 years,"C13 Leucine incorporation in Amyloid peptides (1-40, 1-42) at different time points (in %); C13 Leucine incorporation in detectable peptides generated after trypsin digestion of biological fluids from patients (CSF, blood, urine, saliva) (in %)",,2014,2016; Unknown status,,,biom,
AQW051,NCT00582855,P2,"AD, MCI",54,Throughout the study,"Validated computerized cognitive assessment scores; Validated computerized cognitive assessment scores, the different scores from the Alzheimer's Disease Assessment Score-cognitive subscale (ADAS-Cog), Quality of Life-Alzheimer disease scale and the Disability Assessment for Dementia scale",,2007,2016; Terminated,,,drug,
"active Deep TMS, sham Deep TMS",NCT02734485,N/A,"PD, PSP",20,"evaluation time (pre-stimulation: T0 for first period, T2 for second period; post-stimulation (after four w of treatment): T1 for first period, T3 for second period",Change in PSP rating scale total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in MoCA total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in PDQ 39 total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in NMS total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in Hamilton rating scale for depression total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3),,2016,2016; Completed,,,device,
Nutriceutical formulation,NCT01320527,P2,"MCI, AD",135,within 3 m after initiation of treatment,cognitive improvement or maintenance of cognitive performance; behavioral/psychotic symptoms,,2011,2016; Completed,,,suppl,
"Bilateral GPi DBS, Bilateral STN DBS",NCT01870518,N/A,"PD, MCI",13,6 month post-operative,Neurocognitive Function; Functional motor improvements,,2013,2016; Terminated,,,device,
"neuropsychologic assessment, [18F]AV-45 PET, 18-FDG PET",NCT01325259,P2,"AD, MCI",54,inclusion,Standard Uptake Value Ratios (SUVr),,2011,2016; Completed,,,biom,
[F18]-FDDNP,NCT02214862,Early P1,"PD, PSP",40,18 m,"To assess the Relative Volume of Distribution of [18F]-FDDNP in individuals with unclassifiable parkinsonism, and to try to correlate their eventual clinical diagnosis with baseline PET findings.; to assess the uptake of [18F]-FDDNP in cases clinically defined of progressive supranuclear palsy and multi-system atrophy; To assess the ability to detect in vivo underlying tau pathology in unclassifiable parkinsonism by means of PET -[18F]-FDDNP.",,2014,2016; Completed,,,biom,
"Memory and Problem-Solving Intervention, Supportive Therapy",NCT01646333,N/A,"MCI, PD",32,Change from Baseline in Linear Analog Scale Assessment Overall Well Being Raw Score at 6 m,California Verbal Learning Test-II Long Delay Free Recall Scaled Score Change Over 10 Weeks; Linear Analog Scale Assessment Overall Well Being Raw Score Change Over 10 Weeks; California Verbal Learning Test-II Long Delay Free Recall Scaled Score Change Over 6 Months; Linear Analog Scale Assessment Overall Well Being Raw Score Change Over 6 Months,,2012,2016; Completed,,,behav,
Brain Fitness,NCT02225314,N/A,"MCI, PD",25,Change from Baseline in California Verbal Learning Test-II Long Delay Free Recall Scaled Score at 3 Months,Percent Accuracy on Cognitive Training Quizzes; Parkinson's Disease Quality of Life Questionnaire-39 (PDQ-39); California Verbal Learning Test-II Long Delay Free Recall Scaled Score Change Over 3 Months,,2014,2016; Completed,,,device,
Computerized tests and Electrophysiological measurements,NCT01339130,N/A,"PD, AD, HD",177,3 m,"Empathy ability; Empathy for pain; pattern of empathy disorders according to the disease (stroke, Mild cognitive impairment, Alzheimer disease and Parkinson disease",,2011,2015; Completed,,,behav,
"Condition virtual reality (VR) then Condition classic cognitive stimulation (CCS), Condition classic cognitive stimulation (CCS) then Condition virtual reality (VR)",NCT02176629,N/A,"MCI, AD",60,At the end of experience (45 min),"Evaluate the acceptability of the RV; Evaluate the motivation of subjects (interest, cognition) is greater in the virtual environment during the VR experience compared to a conventional cognitive stimulation activity (CSC).",,2014,2015; Completed,,,device,
"Physical Training and cognitive activity (EPC group), Physical training (EP group)",NCT01553929,N/A,"AD, MCI",5,up to 3 m,effectiveness of physical training; Cognitive improvement,,2012,2015; Terminated,,,behav,
Memantine,NCT00630500,P2,"PD, DLB",75,Month 3 and 6,"Cognitive Drug Research test; Neuropsychiatric Inventory; Unified Parkinson's Disease Rating Scale, part III; Epworth Sleep Scale; Stavanger Sleep Scale; Clinical Global Impression of Change; MMSE; Alzheimer's QUick Test",,2008,2015; Completed,,,drug,
Lithium,NCT00703677,P1/P2,"CBD, PSP",17,28 w,Frontal Assessment Battery (FAB): Change From Baseline; Unified Parkinson Disease Rating Scale (UPDRS) Motor Subscale Score: Change From Baseline; PSP-Quality of Life Scale (QoL):Change From Baseline; Geriatric Depression Scale(GDS)-15:Change From Baseline; PSP Rating Scale Score: Change From Baseline; Change in Glycogen Synthase Kinase (GSK)-3 Beta Activity; Change in Brain-Derived Neurotrophic Factor (BDNF) in CSF; Changes in Amount of Tau and Phosphorylated Tau in Cerebral Spinal Fluid (CSF); Study Drug Compliance; Ability to Tolerate Lithium Carbonate,,2008,2015; Completed,,,drug,
"Instructions about Overestimates, Instructions about Parkinson's, Instructions about Underestimates, Instructions about Alzheimers",NCT02271685,N/A,"AD, PD",600,30 minutes,Time Estimate; Time Generation; Perceived Risk of Disease,,2014,2015; Completed,,,delete,
Posiphen® tartrate capsules,NCT01072812,P1,"AD, MCI",5,10 d,Pharmacokinetics; Pharmacodynamics; Biomarkers; Safety,,2010,2015; Terminated,,,drug,
Foot Mechanical Stimulation (GONDOLA),NCT01815281,N/A,"PD, PSP",,Change from Baseline in UPDRS scores at 1 month follow up,UNIFIED PARKINSON'S DISEASE RATING SCALE (UPDRS).; PROGRESSIVE SUPRANUCLEAR PALSY RATING SCALE (PSP RATING SCALES); Functional Ambulation classification (FAC); Walking handicap Scale (WHS); THE PARKINSON'S DISEASE QUESTIONNAIRE (PDQ-39); Timed Up and Go.; 6 minuts walking test.; Gait Parameters; FREEZING OF GAIT QUESTIONNAIRES; BOLD signal response to gondola treatment,,2013,2015; Unknown status,,,device,
Strengthening exercise,NCT01264614,N/A,"AD, MCI",22,Baseline and 3 m,Neurophysiological Function Pre- & Post- Intervention; Figure Copy & Delayed Test Performance From Pre- to Post-intervention; Fuld Test Performance From Pre- to Post-intervention; Color Trails Test Performance From Pre- to Post-intervention; Digits Backwards Test Performance From Pre- to Post-intervention; Stroop Test Performance From Pre- to Post-intervention,,2010,2015; Completed,,,behav,
Positron emission tomography,NCT01815112,N/A,"MCI, AD",60,Day 366,Dynamic FDG (fluoro-deoxyglucose) PET; Aqueductal CSF flow; Follow-up MRI; Follow-up PET,,2013,2015; Terminated,,,biom,
